BILHETE,DATA,EMITIDO,LOCAL,HORARIO,VALOR,ANIMAL
608,09/02/2021,14:45,2,7:41,21,3
609,24/05/2021,23:00,2,2:15,795,2
610,29/12/2020,13:19,1,13:08,659,18
611,02/10/2021,22:26,1,4:42,663,14
612,25/03/2022,13:55,1,9:27,663,25
613,14/07/2021,15:36,1,4:53,119,20
614,04/08/2021,13:03,1,11:55,443,21
615,08/08/2021,23:23,2,0:09,276,22
616,19/06/2021,22:19,2,16:19,254,15
617,30/09/2021,21:32,2,19:47,872,5
618,04/02/2021,18:44,2,16:04,254,24
619,11/07/2021,15:15,1,10:46,701,22
620,23/08/2022,18:39,2,4:55,256,24
621,25/04/2022,2:31,1,17:20,9,6
622,28/07/2022,22:13,1,7:14,12,10
623,12/08/2021,18:42,2,3:01,133,8
624,18/01/2022,19:40,2,10:46,387,2
625,29/11/2021,19:23,1,18:16,237,25
626,09/05/2021,13:49,2,12:45,630,23
627,07/03/2022,3:19,1,14:08,441,15
628,21/02/2022,19:31,2,19:38,656,1
629,10/09/2022,18:25,2,14:06,597,6
630,01/05/2022,0:57,2,7:14,691,17
631,21/07/2021,11:01,1,16:15,757,21
632,04/04/2022,19:50,1,4:47,122,3
633,26/09/2021,18:21,1,2:07,705,6
634,06/12/2021,16:09,1,15:00,214,11
635,13/02/2021,7:44,1,3:26,672,24
636,20/01/2021,23:22,2,11:08,673,6
637,14/01/2021,9:48,1,8:30,577,17
638,19/05/2021,14:29,2,13:30,462,14
639,03/03/2022,18:52,2,18:26,228,7
640,08/10/2022,20:26,2,17:12,438,21
641,10/05/2021,8:23,1,10:27,726,7
642,18/11/2022,9:53,1,16:27,243,4
643,21/01/2022,9:39,2,12:47,413,12
644,31/10/2021,2:10,2,1:33,145,10
645,23/04/2021,10:00,1,5:53,556,1
646,13/06/2022,2:52,1,19:56,118,7
647,06/06/2022,6:44,1,3:31,943,10
648,21/04/2022,2:52,1,15:13,11,25
649,26/12/2020,3:57,2,8:44,535,15
650,23/07/2021,0:32,1,18:24,698,11
651,18/03/2021,13:57,2,16:54,584,3
652,09/03/2021,6:52,2,15:14,41,1
653,05/02/2021,5:51,1,7:26,20,9
654,21/08/2022,20:27,2,3:45,802,8
655,25/06/2022,14:12,1,15:58,572,15
656,04/10/2021,8:44,1,19:50,155,23
657,20/04/2021,21:41,1,5:41,480,6
658,14/11/2022,5:43,2,8:38,872,20
659,04/11/2022,2:41,1,23:39,731,24
660,31/08/2021,12:48,1,15:44,962,23
661,01/02/2021,23:49,2,13:21,594,9
662,11/01/2022,9:35,1,3:31,823,6
663,05/01/2022,2:38,2,14:51,63,13
664,03/07/2021,17:47,1,17:36,795,22
665,01/08/2022,3:15,2,15:16,3,18
666,15/05/2022,1:28,2,21:27,627,19
667,11/09/2021,7:40,2,8:23,251,21
668,16/01/2022,0:43,1,21:31,275,1
669,03/07/2021,1:18,1,4:26,722,9
670,12/05/2022,13:24,1,12:49,799,12
671,25/09/2022,6:53,2,9:56,94,10
672,17/06/2022,12:44,1,0:24,31,3
673,14/04/2021,20:20,1,20:08,739,14
674,05/07/2021,13:23,2,21:08,668,6
675,26/07/2021,16:30,2,5:41,734,23
676,13/01/2022,5:22,1,9:06,115,9
677,27/06/2021,1:16,1,7:18,546,21
678,25/05/2022,4:01,1,15:59,53,23
679,26/03/2021,22:45,1,17:33,889,10
680,25/12/2021,15:51,1,16:25,251,5
681,19/06/2022,18:50,1,9:23,421,20
682,29/07/2022,9:12,1,23:22,110,14
683,30/09/2021,2:21,1,7:38,59,7
684,21/07/2022,2:38,2,5:51,113,8
685,23/10/2022,5:10,1,0:45,395,8
686,08/05/2022,15:37,2,15:14,193,4
687,08/11/2022,5:13,1,19:39,569,25
688,15/08/2021,21:49,2,4:38,502,25
689,01/02/2022,1:04,1,10:33,271,17
690,07/06/2022,9:06,2,2:43,293,4
691,02/02/2022,20:39,1,6:13,584,1
692,14/10/2022,20:46,1,14:14,932,20
693,24/12/2021,14:24,1,20:33,410,18
694,07/11/2022,6:56,1,5:40,454,12
695,11/09/2022,6:26,1,18:00,410,4
696,08/11/2022,14:24,1,3:12,442,19
697,07/01/2022,10:48,2,13:24,463,10
698,26/02/2021,15:30,2,5:11,703,13
699,27/08/2021,17:27,1,23:57,767,21
700,21/09/2022,4:03,2,8:47,594,2
701,05/07/2022,9:22,2,10:53,812,8
702,17/09/2022,23:32,1,11:40,692,16
703,01/07/2021,1:08,1,13:37,314,8
704,29/07/2021,16:58,2,1:54,804,19
705,22/01/2021,18:31,2,7:54,384,10
706,18/01/2022,5:55,1,19:57,647,14
707,28/09/2021,14:22,1,11:36,790,11
708,23/04/2021,1:26,2,14:37,362,9
709,27/12/2020,2:09,2,0:11,670,11
710,06/09/2022,21:54,1,8:12,68,16
711,09/06/2022,17:07,2,13:57,737,6
712,21/08/2022,8:17,1,13:51,347,22
713,09/08/2021,19:22,2,14:38,869,9
714,06/06/2021,18:12,1,9:54,511,4
715,04/02/2021,9:49,1,13:43,550,4
716,21/07/2022,13:41,2,5:14,489,25
717,07/04/2022,16:52,1,16:01,335,2
718,31/03/2021,14:32,2,9:59,132,22
719,04/09/2022,13:09,1,3:53,944,5
720,19/03/2021,0:15,2,16:09,385,6
721,12/02/2022,20:54,1,12:24,651,5
722,17/06/2022,9:19,2,22:21,970,23
723,14/06/2022,6:38,2,12:40,444,7
724,27/04/2022,8:54,1,15:47,366,2
725,26/04/2021,19:44,2,17:36,974,9
726,20/11/2022,10:43,1,5:06,617,20
727,11/08/2022,10:29,2,0:04,748,9
728,06/01/2022,12:33,1,1:09,36,2
729,09/02/2021,7:32,2,4:08,935,18
730,18/09/2021,4:15,2,12:36,799,21
731,22/08/2021,0:16,2,4:01,30,9
732,07/09/2022,23:25,1,19:04,802,13
733,24/04/2021,15:20,2,11:10,508,22
734,13/07/2022,13:45,2,1:05,9,15
735,05/04/2022,7:18,2,20:23,90,17
736,02/04/2022,11:07,1,22:11,736,3
737,23/09/2022,5:39,1,4:14,4,5
738,29/12/2020,17:06,2,9:51,583,7
739,13/04/2021,5:08,1,16:31,498,21
740,09/04/2022,20:46,2,5:27,722,1
741,16/07/2022,19:42,1,18:14,167,24
742,18/04/2021,7:09,1,6:21,828,8
743,29/10/2022,6:59,2,23:13,799,19
744,12/09/2021,2:15,2,9:48,881,19
745,09/12/2021,6:58,2,1:32,251,22
746,04/06/2021,4:40,1,19:11,801,9
747,23/10/2022,17:56,1,2:35,656,18
748,25/04/2022,4:41,2,11:26,473,17
749,27/03/2021,3:56,1,16:19,532,3
750,30/08/2021,9:05,1,6:16,777,19
751,16/03/2021,13:33,1,23:01,756,18
752,20/10/2022,9:18,1,9:35,665,22
753,19/08/2021,15:46,1,15:08,704,24
754,21/09/2021,17:48,2,20:26,519,2
755,08/10/2022,2:12,2,19:08,79,11
756,13/12/2021,2:15,1,7:59,874,24
757,22/10/2021,9:17,2,23:17,480,24
758,26/08/2022,12:27,2,8:40,759,5
759,28/12/2020,19:41,2,8:31,309,16
760,25/04/2022,5:52,1,11:07,928,24
761,02/06/2021,3:17,2,2:58,681,24
762,20/11/2021,1:43,2,19:06,581,4
763,08/03/2022,3:17,2,22:54,420,6
764,18/11/2021,7:03,2,13:59,256,6
765,26/09/2021,13:03,1,13:55,375,17
766,06/02/2022,7:34,1,7:55,94,13
767,10/07/2022,12:17,1,5:31,149,14
768,29/12/2020,8:10,1,5:13,390,5
769,17/09/2021,17:18,2,23:07,394,12
770,30/04/2022,16:02,2,8:58,596,13
771,04/03/2022,17:39,1,0:27,446,14
772,16/11/2022,17:11,1,23:18,315,14
773,08/06/2021,1:19,1,19:54,89,25
774,07/06/2022,21:28,1,4:33,59,3
775,11/12/2021,8:26,2,13:44,828,13
776,21/12/2021,20:47,1,2:52,757,2
777,10/06/2021,7:41,1,5:56,809,25
778,16/07/2021,23:47,2,18:06,476,10
779,17/08/2022,14:03,2,10:23,588,8
780,26/09/2021,5:14,1,21:18,527,14
781,16/12/2021,7:43,2,9:21,299,16
782,27/07/2022,13:06,2,22:03,831,5
783,04/01/2021,6:53,2,16:41,157,9
784,15/02/2021,21:59,2,6:39,477,13
785,06/03/2022,9:41,2,5:22,196,11
786,20/11/2021,20:45,1,2:27,577,25
787,28/06/2021,0:36,1,16:39,575,12
788,02/10/2021,0:27,1,7:25,257,7
789,15/09/2022,11:28,1,15:18,261,15
790,26/07/2022,3:27,2,17:11,285,25
791,17/02/2022,21:53,2,11:24,278,18
792,21/04/2021,8:30,1,13:27,96,22
793,23/09/2022,21:04,2,1:32,461,11
794,30/10/2021,6:11,1,16:23,622,19
795,26/11/2022,17:34,1,18:25,665,25
796,02/07/2021,12:11,2,2:08,669,16
797,27/07/2021,14:44,1,17:05,788,11
798,15/05/2022,18:15,2,22:11,684,25
799,07/10/2022,9:45,1,7:11,599,25
800,24/02/2021,22:31,2,12:26,906,25
801,03/01/2022,20:49,2,1:33,487,24
802,20/05/2021,5:11,1,16:16,571,25
803,29/01/2021,13:16,1,11:07,522,19
804,30/03/2022,18:11,2,19:32,812,22
805,20/02/2022,3:27,2,15:50,822,13
806,30/11/2021,2:21,1,5:51,837,18
807,23/10/2022,1:47,1,20:03,955,24
808,29/07/2022,21:17,2,9:52,122,5
809,07/10/2022,0:51,1,2:34,20,11
810,01/07/2022,20:15,2,14:12,643,6
811,16/10/2021,18:21,1,19:10,98,5
812,29/04/2022,20:39,1,7:20,946,3
813,14/06/2021,9:37,2,10:14,564,15
814,28/11/2021,14:10,1,2:44,986,22
815,17/11/2021,18:46,2,9:03,238,6
816,30/01/2021,15:26,1,1:10,887,25
817,07/03/2021,15:22,1,7:39,744,3
818,10/03/2021,16:58,1,19:49,442,24
819,20/11/2022,7:12,1,6:59,753,11
820,22/08/2022,16:56,1,1:26,57,12
821,09/02/2021,11:05,1,19:58,310,24
822,12/12/2020,21:58,2,2:24,176,11
823,29/01/2022,7:13,1,11:31,891,3
824,15/06/2021,5:01,1,13:17,54,8
825,11/03/2021,11:46,1,4:44,918,9
826,11/12/2020,5:38,2,19:34,529,7
827,13/02/2021,7:32,1,10:05,742,5
828,22/02/2022,8:44,1,21:31,80,3
829,26/01/2022,4:44,1,13:35,835,24
830,31/10/2021,0:15,2,5:26,502,15
831,02/05/2021,10:30,1,5:26,438,1
832,26/04/2021,11:16,2,2:19,624,24
833,16/12/2021,0:17,1,4:21,964,1
834,28/03/2021,3:35,2,19:02,310,11
835,06/02/2022,20:43,1,18:34,451,10
836,06/10/2021,16:41,1,7:04,669,16
837,01/06/2022,7:24,2,3:02,416,9
838,30/01/2021,4:35,2,14:37,369,17
839,28/05/2021,23:03,1,15:14,796,6
840,03/08/2022,13:39,1,9:44,412,19
841,16/11/2022,20:15,2,23:05,448,24
842,05/01/2021,3:50,1,22:48,202,10
843,07/09/2022,19:58,1,22:04,666,5
844,01/12/2021,17:18,2,16:47,580,4
845,23/04/2021,19:25,2,13:38,582,9
846,23/03/2021,20:43,2,0:53,42,6
847,01/02/2021,22:32,1,11:47,642,8
848,20/04/2022,22:46,2,2:26,376,10
849,25/04/2021,19:21,2,14:21,960,8
850,17/07/2022,13:36,2,16:02,816,4
851,17/10/2022,20:34,2,17:40,245,6
852,10/11/2021,2:00,2,13:10,8,24
853,17/03/2021,17:24,2,14:27,203,19
854,07/05/2021,4:49,1,4:28,624,19
855,10/04/2021,3:05,1,1:52,470,22
856,13/05/2022,21:45,1,22:16,639,8
857,26/10/2022,22:00,2,3:35,454,13
858,14/04/2021,7:40,2,21:28,208,21
859,20/06/2021,7:43,1,22:16,471,22
860,13/07/2021,18:51,2,10:05,801,14
861,11/06/2021,23:25,2,7:16,453,15
862,25/11/2022,7:23,2,21:03,211,9
863,26/11/2021,1:37,1,6:53,740,5
864,05/02/2021,20:17,1,11:41,855,20
865,08/03/2022,19:05,1,7:16,797,25
866,08/07/2021,10:20,2,13:19,665,13
867,29/01/2022,21:14,2,15:18,930,19
868,28/05/2022,4:58,1,21:08,66,11
869,04/08/2021,19:43,2,17:46,982,14
870,26/08/2022,19:05,2,4:47,418,15
871,22/05/2022,4:24,1,23:05,56,6
872,18/04/2022,20:23,2,12:33,17,7
873,08/09/2022,3:22,2,22:32,152,7
874,19/12/2021,19:13,1,20:43,309,25
875,04/10/2022,5:50,1,10:58,449,3
876,29/12/2021,16:26,2,23:12,1000,18
877,11/05/2021,11:25,2,19:03,981,5
878,01/02/2022,15:10,2,6:38,888,8
879,05/06/2021,4:00,2,16:34,628,20
880,19/01/2021,5:36,1,21:30,38,6
881,30/07/2022,11:31,1,1:24,527,13
882,23/01/2021,17:26,1,15:54,310,4
883,18/09/2022,3:05,1,19:35,857,4
884,27/09/2022,2:32,2,4:14,684,1
885,19/11/2022,15:54,2,16:31,209,14
886,19/03/2021,8:27,1,0:55,943,12
887,06/04/2021,15:44,2,23:12,3,4
888,05/09/2021,21:51,2,2:17,848,13
889,09/10/2022,14:33,1,1:45,442,10
890,19/12/2020,15:18,1,4:21,264,14
891,25/11/2022,8:27,2,22:41,835,22
892,12/07/2021,18:20,2,9:13,608,23
893,02/11/2022,21:40,1,18:32,353,17
894,06/02/2021,8:05,2,4:54,712,23
895,18/11/2021,3:59,1,10:31,78,21
896,19/03/2021,1:25,2,22:56,641,7
897,04/09/2021,11:49,2,18:32,398,16
898,24/05/2021,14:40,2,19:39,422,7
899,02/09/2022,6:33,1,17:50,376,15
900,28/02/2022,14:49,2,2:31,754,4
901,21/12/2021,11:31,1,2:33,815,5
902,15/01/2022,17:59,1,23:30,735,17
903,16/05/2021,8:37,2,13:11,454,13
904,11/01/2022,9:52,1,22:16,242,2
905,06/06/2021,0:48,1,7:20,280,5
906,22/06/2021,21:49,2,20:56,113,15
907,18/07/2021,14:44,2,16:36,856,13
908,14/03/2021,9:10,2,23:36,799,1
909,27/12/2020,11:12,2,9:38,548,13
910,30/04/2021,5:54,1,0:08,405,10
911,07/01/2021,11:39,2,1:35,448,20
912,29/07/2022,23:05,2,12:08,889,13
913,29/07/2021,3:45,2,11:22,663,22
914,28/12/2020,20:13,2,14:47,532,12
915,20/10/2022,0:24,2,4:00,831,16
916,13/09/2021,13:36,1,12:30,50,16
917,22/09/2022,15:22,1,6:54,752,17
918,29/05/2021,9:52,1,2:26,596,13
919,08/04/2021,1:23,2,6:09,115,2
920,04/08/2022,5:48,2,7:07,457,15
921,01/04/2021,23:23,1,19:48,526,5
922,26/08/2022,6:04,2,5:09,628,5
923,18/02/2022,7:24,1,13:52,811,24
924,29/12/2021,16:47,1,6:08,530,8
925,10/06/2021,21:57,1,17:35,671,17
926,05/01/2022,15:46,1,18:50,667,25
927,20/06/2021,12:52,2,4:22,498,2
928,17/07/2022,9:18,1,4:04,529,5
929,31/12/2020,22:34,1,15:24,250,19
930,02/12/2021,4:15,1,15:04,645,20
931,18/11/2022,14:18,1,23:37,339,17
932,10/04/2021,15:27,2,17:12,557,7
933,30/10/2021,5:54,2,20:28,618,1
934,06/08/2021,10:09,1,14:40,142,17
935,05/03/2021,3:34,2,6:07,609,16
936,02/11/2021,6:24,1,4:08,146,25
937,12/06/2022,20:13,1,20:55,349,1
938,20/09/2022,4:13,1,1:06,337,15
939,30/03/2022,1:12,2,0:10,7,10
940,08/12/2020,11:13,1,14:52,714,20
941,20/02/2022,19:40,1,9:00,971,1
942,19/03/2021,10:59,2,18:29,126,7
943,17/12/2021,13:12,2,1:20,953,7
944,23/05/2021,2:55,1,4:02,177,9
945,02/03/2021,7:49,2,17:08,642,18
946,28/09/2022,14:44,2,2:10,296,21
947,17/10/2021,22:34,2,11:44,107,20
948,21/06/2021,17:24,2,14:38,596,4
949,12/10/2022,2:06,2,11:13,186,21
950,16/12/2020,18:52,1,4:23,184,15
951,07/05/2021,12:15,2,6:16,365,1
952,08/06/2022,7:57,2,14:48,680,11
953,06/07/2021,23:48,1,1:38,189,16
954,21/04/2022,18:09,2,21:20,588,3
955,03/11/2021,11:32,2,10:07,205,22
956,23/07/2021,14:01,2,22:07,124,3
957,05/04/2021,6:00,2,4:09,744,12
958,27/03/2021,17:34,2,15:49,962,2
959,24/04/2022,13:06,2,7:20,587,16
960,25/02/2022,18:53,2,13:22,484,19
961,14/12/2021,12:05,1,19:15,350,17
962,14/03/2022,13:47,1,7:31,58,15
963,14/12/2021,19:36,2,22:37,798,13
964,08/10/2022,18:55,2,4:41,81,13
965,03/10/2022,13:30,1,0:24,389,6
966,06/09/2021,14:44,2,22:01,14,5
967,13/01/2021,14:59,2,16:18,228,20
968,22/08/2022,18:45,1,4:47,87,7
969,18/01/2021,2:19,1,10:56,157,3
970,26/09/2021,5:23,1,8:39,544,18
971,21/04/2022,21:43,1,18:09,70,18
972,18/08/2021,6:08,1,8:44,454,24
973,05/04/2021,14:52,1,6:25,40,17
974,23/07/2021,15:49,1,8:46,871,16
975,28/01/2021,2:00,2,8:18,731,19
976,09/12/2021,4:23,1,8:53,131,15
977,05/12/2021,19:28,2,22:12,108,13
978,20/08/2021,20:51,2,11:22,947,25
979,28/12/2020,3:09,2,11:26,800,20
980,28/07/2022,1:34,1,0:37,88,17
981,28/03/2021,15:34,1,2:00,301,17
982,24/11/2021,23:51,2,16:09,317,19
983,06/02/2021,11:05,2,19:51,326,14
984,20/05/2022,8:36,2,21:19,130,18
985,27/08/2022,22:03,1,6:17,761,22
986,28/07/2022,9:13,2,12:28,723,17
987,25/07/2021,6:50,2,10:57,106,2
988,14/04/2022,20:09,1,8:49,378,16
989,30/07/2021,3:01,1,22:26,856,24
990,05/01/2022,18:51,2,14:58,446,18
991,29/10/2021,4:56,1,17:04,474,14
992,28/07/2021,22:59,1,4:22,365,7
993,09/10/2022,17:38,2,20:35,434,20
994,23/03/2021,12:35,1,8:31,579,7
995,17/08/2022,18:53,1,12:05,673,24
996,16/03/2022,4:37,1,3:58,521,9
997,05/05/2022,0:04,2,12:20,877,14
998,11/05/2022,15:55,2,8:00,830,8
999,14/09/2022,10:02,2,10:20,442,22
1000,02/01/2022,6:53,2,5:05,55,15
